"LakeID","era","n","trend","sig","min_year","max_year","var","Layer","season"
"1","after",23,-0.000321052065767225,0.003338898163606,1993,2015,"VHOD5","HYPO","Summer"
"10","after",6,-0.000291880362534112,0.647746243739566,1974,1990,"VHOD5","HYPO","Summer"
"107","after",3,NA,NA,NA,NA,"VHOD5","HYPO","Summer"
"109","after",6,-0.00524487008664561,0.300500834724541,2005,2016,"VHOD5","HYPO","Summer"
"11","after",40,0.000166074885897019,0.377295492487479,1969,2012,"VHOD5","HYPO","Summer"
"110","after",19,0.000655390844586053,0.861435726210351,1994,2016,"VHOD5","HYPO","Summer"
"114","after",18,9.44862040032485e-05,0.961602671118531,1984,2008,"VHOD5","HYPO","Summer"
"115","after",28,-0.000149732596647149,0.13355592654424,1985,2016,"VHOD5","HYPO","Summer"
"116","after",4,NA,NA,NA,NA,"VHOD5","HYPO","Summer"
"118","after",10,-0.00468281011181131,0.273789649415693,2001,2013,"VHOD5","HYPO","Summer"
"119","after",4,NA,NA,NA,NA,"VHOD5","HYPO","Summer"
"12","after",11,0.000490828700619326,0.377295492487479,1987,2012,"VHOD5","HYPO","Summer"
"120","after",1,NA,NA,NA,NA,"VHOD5","HYPO","Summer"
"122","after",21,0.0011488683195814,0,1992,2014,"VHOD5","HYPO","Summer"
"124","after",26,-0.00109174745653328,0.0534223706176962,1988,2016,"VHOD5","HYPO","Summer"
"126","after",1,NA,NA,NA,NA,"VHOD5","HYPO","Summer"
"129","after",3,NA,NA,NA,NA,"VHOD5","HYPO","Summer"
"134","after",4,NA,NA,NA,NA,"VHOD5","HYPO","Summer"
"141","after",8,8.50015225792743e-05,0.928213689482471,1998,2015,"VHOD5","HYPO","Summer"
"144","after",29,-0.00045936245537329,0.56093489148581,1977,2014,"VHOD5","HYPO","Summer"
"145","after",1,NA,NA,NA,NA,"VHOD5","HYPO","Summer"
"146","after",22,0.000703903008131404,0.237061769616027,1988,2016,"VHOD5","HYPO","Summer"
"147","after",21,0.000673465921606489,0.590984974958264,1979,2016,"VHOD5","HYPO","Summer"
"149","after",15,-0.00038598784764101,0.787979966611018,1993,2016,"VHOD5","HYPO","Summer"
"15","after",28,-0.000476281329741073,0.00667779632721199,1987,2016,"VHOD5","HYPO","Summer"
"153","after",28,-0.000266658852259108,0.427378964941569,1979,2016,"VHOD5","HYPO","Summer"
"154","after",8,0.00233727285904647,0.313856427378965,2000,2008,"VHOD5","HYPO","Summer"
"155","after",19,-0.00216121610204856,0.163606010016695,1990,2016,"VHOD5","HYPO","Summer"
"157","after",19,-0.0012682640556552,0.323873121869783,1997,2016,"VHOD5","HYPO","Summer"
"158","after",20,-0.000169801646644461,0.6110183639399,1997,2016,"VHOD5","HYPO","Summer"
"168","after",29,0.000496546022577855,0.310517529215359,1988,2016,"VHOD5","HYPO","Summer"
"171","after",8,-0.000109079392636603,0.971619365609349,1997,2008,"VHOD5","HYPO","Summer"
"172","after",27,0.00135879850215754,0.010016694490818,1988,2016,"VHOD5","HYPO","Summer"
"173","after",38,0.000332075310242093,0.0667779632721202,1976,2016,"VHOD5","HYPO","Summer"
"174","after",38,0.000631308397509333,0.0534223706176962,1976,2016,"VHOD5","HYPO","Summer"
"175","after",30,-4.43410382294481e-05,0.671118530884808,1987,2016,"VHOD5","HYPO","Summer"
"177","after",26,0.000346717003405692,0.13355592654424,1988,2016,"VHOD5","HYPO","Summer"
"178","after",32,0.000585191992138471,0.0567612687813022,1978,2016,"VHOD5","HYPO","Summer"
"179","after",25,0.00110298968190339,0.0734557595993322,1990,2016,"VHOD5","HYPO","Summer"
"182","after",15,0.00221559377343203,0.183639398998331,1994,2016,"VHOD5","HYPO","Summer"
"183","after",5,NA,NA,1999,2006,"VHOD5","HYPO","Summer"
"184","after",3,NA,NA,NA,NA,"VHOD5","HYPO","Summer"
"186","after",17,0.00312479809619668,0.0233722871452421,1998,2016,"VHOD5","HYPO","Summer"
"187","after",22,0.00031387089994894,0.691151919866444,1991,2016,"VHOD5","HYPO","Summer"
"189","after",1,NA,NA,NA,NA,"VHOD5","HYPO","Summer"
"190","after",22,0.000435532707577373,0.183639398998331,1994,2016,"VHOD5","HYPO","Summer"
"191","after",13,-0.00202898253707938,0.370617696160267,1993,2016,"VHOD5","HYPO","Summer"
"192","after",21,-0.000189062354200925,0.651085141903172,1991,2016,"VHOD5","HYPO","Summer"
"193","after",21,0.000327151861726868,0.357262103505843,1996,2016,"VHOD5","HYPO","Summer"
"194","after",23,0.000496012095589662,0.0868113522537563,1977,2015,"VHOD5","HYPO","Summer"
"195","after",31,0.000298147133023116,0.327212020033389,1975,2016,"VHOD5","HYPO","Summer"
"196","after",8,-0.000623239591653354,0.227045075125209,1988,2016,"VHOD5","HYPO","Summer"
"197","after",2,NA,NA,NA,NA,"VHOD5","HYPO","Summer"
"199","after",32,0.00173036014036993,0.01669449081803,1979,2016,"VHOD5","HYPO","Summer"
"2","after",23,0.000642947029051288,0.0767946577629382,1993,2015,"VHOD5","HYPO","Summer"
"20","after",14,-0.001201186740478,0.0634390651085142,2001,2014,"VHOD5","HYPO","Summer"
"200","after",1,NA,NA,NA,NA,"VHOD5","HYPO","Summer"
"201","after",10,0.00243960301266524,0.0968280467445743,1988,2014,"VHOD5","HYPO","Summer"
"202","after",12,0.00270212870468044,0.10016694490818,1985,2016,"VHOD5","HYPO","Summer"
"204","after",20,-0.0004663496902152,0.66110183639399,1995,2015,"VHOD5","HYPO","Summer"
"205","after",26,0.000285392032774522,0.380634390651085,1976,2015,"VHOD5","HYPO","Summer"
"206","after",14,0.000199939984858503,0.671118530884808,1988,2016,"VHOD5","HYPO","Summer"
"207","after",1,NA,NA,NA,NA,"VHOD5","HYPO","Summer"
"208","after",17,-0.00194634542632792,0.227045075125209,1995,2016,"VHOD5","HYPO","Summer"
"209","after",23,0.000142043149638707,0.808013355592654,1993,2016,"VHOD5","HYPO","Summer"
"210","after",23,0.000591350607064825,0.11686143572621,1993,2016,"VHOD5","HYPO","Summer"
"211","after",22,0.000364201794676536,0.360601001669449,1993,2016,"VHOD5","HYPO","Summer"
"212","after",4,NA,NA,NA,NA,"VHOD5","HYPO","Summer"
"214","after",21,-0.000207927182737289,0.601001669449082,1992,2016,"VHOD5","HYPO","Summer"
"215","after",7,0.00100315996899012,0.140233722871452,1990,2016,"VHOD5","HYPO","Summer"
"216","after",38,-0.000405768112599085,0.10016694490818,1977,2016,"VHOD5","HYPO","Summer"
"217","after",29,-0.000227269245867148,0.120200333889816,1987,2016,"VHOD5","HYPO","Summer"
"218","after",30,-0.000521704647283059,0.013355592654424,1987,2016,"VHOD5","HYPO","Summer"
"219","after",10,-0.00147665244625046,0.427378964941569,1989,2015,"VHOD5","HYPO","Summer"
"22","after",26,0.000228240195223538,0.397328881469115,1990,2016,"VHOD5","HYPO","Summer"
"220","after",23,-0.000799202894240468,0.333889816360601,1993,2016,"VHOD5","HYPO","Summer"
"221","after",7,0.00118579915675387,0.377295492487479,1979,2000,"VHOD5","HYPO","Summer"
"224","after",19,0.000551565500588336,0.687813021702838,1986,2016,"VHOD5","HYPO","Summer"
"225","after",30,-0.000463819642219048,0.126878130217028,1982,2016,"VHOD5","HYPO","Summer"
"226","after",34,-0.000353831495399376,0.010016694490818,1979,2016,"VHOD5","HYPO","Summer"
"229","after",13,-4.45615026552372e-06,0.954924874791319,1987,2014,"VHOD5","HYPO","Summer"
"230","after",13,-0.00103365852471388,0.601001669449082,1987,2011,"VHOD5","HYPO","Summer"
"231","after",27,-0.000284277787304565,0.203672787979967,1989,2016,"VHOD5","HYPO","Summer"
"234","after",31,0.00111504582568025,0.00667779632721202,1985,2016,"VHOD5","HYPO","Summer"
"235","after",22,-0.000413357403370399,0.146911519198665,1992,2016,"VHOD5","HYPO","Summer"
"238","after",33,-0.000183918698158129,0.337228714524207,1976,2016,"VHOD5","HYPO","Summer"
"24","after",19,5.78350970653799e-05,0.550918196994992,1993,2016,"VHOD5","HYPO","Summer"
"242","after",36,-0.00134942156425463,0.0534223706176962,1977,2016,"VHOD5","HYPO","Summer"
"25","after",8,0.000484142519714372,0.343906510851419,1996,2005,"VHOD5","HYPO","Summer"
"257","after",2,NA,NA,NA,NA,"VHOD5","HYPO","Summer"
"26","after",19,0.00295156034010703,0.0233722871452421,1981,2014,"VHOD5","HYPO","Summer"
"266","after",10,3.89380208623013e-05,0.921535893155259,2003,2016,"VHOD5","HYPO","Summer"
"269","after",1,NA,NA,NA,NA,"VHOD5","HYPO","Summer"
"27","after",35,-0.000238803257344373,0.56093489148581,1981,2015,"VHOD5","HYPO","Summer"
"270","after",1,NA,NA,NA,NA,"VHOD5","HYPO","Summer"
"274","after",1,NA,NA,NA,NA,"VHOD5","HYPO","Summer"
"281","after",19,-0.000189290215599417,0.791318864774624,1988,2013,"VHOD5","HYPO","Summer"
"282","after",22,-0.000220331848541079,0.587646076794658,1990,2012,"VHOD5","HYPO","Summer"
"284","after",14,0.00152875709757892,0.434056761268781,1989,2013,"VHOD5","HYPO","Summer"
"285","after",24,-0.000603579171686489,0.150250417362271,1988,2012,"VHOD5","HYPO","Summer"
"286","after",9,-0.000745974610193405,0.72787979966611,2000,2012,"VHOD5","HYPO","Summer"
"287","after",20,-0.000429298920902837,0.290484140233723,1988,2012,"VHOD5","HYPO","Summer"
"288","after",16,-0.00162047398239668,0.143572621035059,1996,2013,"VHOD5","HYPO","Summer"
"289","after",20,0.00100408682178157,0.437395659432387,1990,2013,"VHOD5","HYPO","Summer"
"29","after",30,-7.04655965267503e-05,0.864774624373957,1981,2015,"VHOD5","HYPO","Summer"
"290","after",20,0.000690530813428767,0.290484140233723,1990,2009,"VHOD5","HYPO","Summer"
"294","after",16,-0.000194830595680746,0.550918196994992,1992,2013,"VHOD5","HYPO","Summer"
"295","after",26,-0.00112126267114527,0.013355592654424,1988,2013,"VHOD5","HYPO","Summer"
"296","after",22,-0.00134612518164965,0.340567612687813,1989,2013,"VHOD5","HYPO","Summer"
"297","after",22,-0.000653020747654533,0.233722871452421,1990,2013,"VHOD5","HYPO","Summer"
"298","after",20,0.000451805771806485,0.520868113522538,1991,2013,"VHOD5","HYPO","Summer"
"299","after",22,-1.19066169844168e-05,0.888146911519199,1990,2011,"VHOD5","HYPO","Summer"
"30","after",20,0.00266832362288772,0.0534223706176962,1996,2015,"VHOD5","HYPO","Summer"
"300","after",22,-0.000655928314583974,0.0333889816360602,1990,2012,"VHOD5","HYPO","Summer"
"301","after",17,-0.000337944036463829,0.323873121869783,1990,2012,"VHOD5","HYPO","Summer"
"302","after",25,0.000843594074714167,0.227045075125209,1988,2013,"VHOD5","HYPO","Summer"
"303","after",15,-0.00035418366727769,0.223706176961603,1990,2013,"VHOD5","HYPO","Summer"
"304","after",17,-0.00260070315063273,0.003338898163606,1990,2009,"VHOD5","HYPO","Summer"
"305","after",22,-0.000443720872015965,0.450751252086811,1988,2013,"VHOD5","HYPO","Summer"
"306","after",18,0.000439044814532933,0.0868113522537563,1993,2017,"VHOD5","HYPO","Summer"
"307","after",2,NA,NA,NA,NA,"VHOD5","HYPO","Summer"
"308","after",6,-0.000480679318265819,0.914858096828047,2001,2016,"VHOD5","HYPO","Summer"
"309","after",2,NA,NA,NA,NA,"VHOD5","HYPO","Summer"
"31","after",20,0.00121370496111711,0.380634390651085,1995,2015,"VHOD5","HYPO","Summer"
"310","after",5,NA,NA,2000,2008,"VHOD5","HYPO","Summer"
"311","after",3,NA,NA,NA,NA,"VHOD5","HYPO","Summer"
"312","after",9,0.00194255522157027,0.69449081803005,1997,2017,"VHOD5","HYPO","Summer"
"313","after",3,NA,NA,NA,NA,"VHOD5","HYPO","Summer"
"314","after",4,NA,NA,NA,NA,"VHOD5","HYPO","Summer"
"315","after",13,0.000572569717299957,0.747913188647746,1999,2017,"VHOD5","HYPO","Summer"
"316","after",9,0.000281386750776517,0.808013355592654,1982,2016,"VHOD5","HYPO","Summer"
"317","after",14,-0.00333917431884073,0.153589315525877,1997,2017,"VHOD5","HYPO","Summer"
"32","after",17,0.00216111073207565,0.287145242070117,1995,2015,"VHOD5","HYPO","Summer"
"320","after",5,NA,NA,1997,2015,"VHOD5","HYPO","Summer"
"321","after",8,3.57412820055944e-05,0.971619365609349,1987,2016,"VHOD5","HYPO","Summer"
"322","after",10,-0.000484721198997934,0.771285475792988,1989,2016,"VHOD5","HYPO","Summer"
"324","after",22,-0.00111285204777068,0.293823038397329,1991,2017,"VHOD5","HYPO","Summer"
"326","after",3,NA,NA,NA,NA,"VHOD5","HYPO","Summer"
"327","after",24,-0.00138426278799198,0.517529215358931,1991,2017,"VHOD5","HYPO","Summer"
"328","after",3,NA,NA,NA,NA,"VHOD5","HYPO","Summer"
"329","after",17,0.00379575527504008,0.444073455759599,1991,2017,"VHOD5","HYPO","Summer"
"33","after",30,0.000154125250678085,0.861435726210351,1981,2015,"VHOD5","HYPO","Summer"
"330","after",11,0.00253333657212378,0.6110183639399,1992,2017,"VHOD5","HYPO","Summer"
"332","after",6,-0.00213963893824567,0.848080133555926,1982,2017,"VHOD5","HYPO","Summer"
"333","after",7,0.0101699541185406,0.283806343906511,2005,2016,"VHOD5","HYPO","Summer"
"334","after",6,-0.0106942848419801,0.641068447412354,1995,2016,"VHOD5","HYPO","Summer"
"336","after",18,0.00381893001341148,0.347245409015025,1997,2017,"VHOD5","HYPO","Summer"
"337","after",12,0.00234370284419343,0.634390651085142,1982,2017,"VHOD5","HYPO","Summer"
"341","after",1,NA,NA,NA,NA,"VHOD5","HYPO","Summer"
"342","after",7,0.0145837913130064,0.303839732888147,2003,2016,"VHOD5","HYPO","Summer"
"343","after",4,NA,NA,NA,NA,"VHOD5","HYPO","Summer"
"344","after",16,0.00368048115956779,0.0267111853088481,1983,2017,"VHOD5","HYPO","Summer"
"346","after",9,-0.0003475649876189,0.928213689482471,1994,2017,"VHOD5","HYPO","Summer"
"349","after",3,NA,NA,NA,NA,"VHOD5","HYPO","Summer"
"35","after",35,-0.000235512606633474,0.347245409015025,1981,2015,"VHOD5","HYPO","Summer"
"351","after",12,0.00225452513847847,0.280467445742905,1993,2013,"VHOD5","HYPO","Summer"
"353","after",6,0.00309581481512627,0.434056761268781,1981,2016,"VHOD5","HYPO","Summer"
"357","after",31,-0.000708040409490538,0.270450751252087,1981,2016,"VHOD5","HYPO","Summer"
"362","after",16,-0.000415669846569426,0.76126878130217,1984,2016,"VHOD5","HYPO","Summer"
"364","after",8,0.0053473236914068,0.243739565943239,1991,2016,"VHOD5","HYPO","Summer"
"365","after",7,-0.00104713139061835,0.607679465776294,1994,2016,"VHOD5","HYPO","Summer"
"366","after",19,0.000683412509375904,0.831385642737897,1981,2016,"VHOD5","HYPO","Summer"
"37","after",10,0.00306987343402596,0.0233722871452421,1993,2014,"VHOD5","HYPO","Summer"
"371","after",10,-0.00070963858783427,0.66110183639399,1985,2016,"VHOD5","HYPO","Summer"
"374","after",3,NA,NA,NA,NA,"VHOD5","HYPO","Summer"
"375","after",14,-0.000292647491151315,0.57762938230384,1983,2016,"VHOD5","HYPO","Summer"
"376","after",4,NA,NA,NA,NA,"VHOD5","HYPO","Summer"
"378","after",8,0.0198664506641281,0.186978297161937,2004,2016,"VHOD5","HYPO","Summer"
"379","after",7,0.0152770222442507,0.013355592654424,1996,2016,"VHOD5","HYPO","Summer"
"38","after",14,0.00076700268266411,0,1993,2014,"VHOD5","HYPO","Summer"
"380","after",16,0.000816700451445325,0.220367278797997,1981,2013,"VHOD5","HYPO","Summer"
"381","after",4,NA,NA,NA,NA,"VHOD5","HYPO","Summer"
"382","after",9,-0.00110152090333134,0.771285475792988,1988,2014,"VHOD5","HYPO","Summer"
"383","after",2,NA,NA,NA,NA,"VHOD5","HYPO","Summer"
"384","after",24,0.000586475686515632,0.393989983305509,1988,2016,"VHOD5","HYPO","Summer"
"386","after",1,NA,NA,NA,NA,"VHOD5","HYPO","Summer"
"387","after",8,-0.017152985867501,0.0300500834724542,1981,1995,"VHOD5","HYPO","Summer"
"388","after",2,NA,NA,NA,NA,"VHOD5","HYPO","Summer"
"389","after",43,-0.000151883899381044,0.0701168614357262,1974,2017,"VHOD5","HYPO","Summer"
"390","after",39,0.000213590370970251,0,1974,2016,"VHOD5","HYPO","Summer"
"391","after",41,1.04848418769121e-06,0.994991652754591,1974,2017,"VHOD5","HYPO","Summer"
"393","after",2,NA,NA,NA,NA,"VHOD5","HYPO","Summer"
"394","after",3,NA,NA,NA,NA,"VHOD5","HYPO","Summer"
"395","after",5,NA,NA,1999,2014,"VHOD5","HYPO","Summer"
"396","after",2,NA,NA,NA,NA,"VHOD5","HYPO","Summer"
"400","after",7,0.00285492723156234,0.273789649415693,2001,2008,"VHOD5","HYPO","Summer"
"41","after",36,-0.000603139178998054,0.507512520868113,1952,2006,"VHOD5","HYPO","Summer"
"412","after",16,0.000257989527853472,0.631051752921536,2000,2017,"VHOD5","HYPO","Summer"
"413","after",12,-0.000338039742136854,0.751252086811352,2003,2016,"VHOD5","HYPO","Summer"
"415","after",15,0.0168094990778627,0.13355592654424,1995,2015,"VHOD5","HYPO","Summer"
"440","after",2,NA,NA,NA,NA,"VHOD5","HYPO","Summer"
"441","after",6,6.02435937854999e-06,0.914858096828047,1959,2002,"VHOD5","HYPO","Summer"
"46","after",30,0.000126258176440364,0.56093489148581,1976,2014,"VHOD5","HYPO","Summer"
"47","after",31,0.000105266241512477,0.353923205342237,1976,2015,"VHOD5","HYPO","Summer"
"48","after",37,0.000128187029344796,0.507512520868113,1976,2015,"VHOD5","HYPO","Summer"
"49","after",32,0.000880473843401778,0.120200333889816,1976,2015,"VHOD5","HYPO","Summer"
"5","after",18,-0.0003366949378174,0.647746243739566,1998,2015,"VHOD5","HYPO","Summer"
"50","after",31,0.000247628949178933,0.10016694490818,1976,2015,"VHOD5","HYPO","Summer"
"52","after",21,-0.000848415624841789,0.130217028380634,1980,2015,"VHOD5","HYPO","Summer"
"53","after",17,0.000193319919691377,0.517529215358932,1977,2014,"VHOD5","HYPO","Summer"
"54","after",30,0.000177880577969517,0.631051752921536,1977,2015,"VHOD5","HYPO","Summer"
"55","after",9,0.000271146308780409,0.771285475792988,1989,2013,"VHOD5","HYPO","Summer"
"6","after",21,2.18829108935293e-05,0.657762938230384,1988,2013,"VHOD5","HYPO","Summer"
"7","after",22,-0.000253730163352556,0.233722871452421,1992,2015,"VHOD5","HYPO","Summer"
"79","after",22,-0.000228498807203479,0.634390651085142,1991,2015,"VHOD5","HYPO","Summer"
"80","after",1,NA,NA,NA,NA,"VHOD5","HYPO","Summer"
"84","after",1,NA,NA,NA,NA,"VHOD5","HYPO","Summer"
"85","after",3,NA,NA,NA,NA,"VHOD5","HYPO","Summer"
"86","after",1,NA,NA,NA,NA,"VHOD5","HYPO","Summer"
"87","after",2,NA,NA,NA,NA,"VHOD5","HYPO","Summer"
"88","after",3,NA,NA,NA,NA,"VHOD5","HYPO","Summer"
"90","after",1,NA,NA,NA,NA,"VHOD5","HYPO","Summer"
"92","after",12,0.00182578423270369,0.223706176961603,1995,2015,"VHOD5","HYPO","Summer"
"94","after",1,NA,NA,NA,NA,"VHOD5","HYPO","Summer"
"95","after",3,NA,NA,NA,NA,"VHOD5","HYPO","Summer"
"MIDAS-103","after",38,-0.000355470595846571,0.0333889816360602,1979,2018,"VHOD5","HYPO","Summer"
"MIDAS-1672","after",5,NA,NA,1987,1992,"VHOD5","HYPO","Summer"
"MIDAS-1674","after",10,-0.000122969747319735,0.771285475792988,1984,2020,"VHOD5","HYPO","Summer"
"MIDAS-1682","after",6,0.000234424557554097,0.821368948247079,1986,2015,"VHOD5","HYPO","Summer"
"MIDAS-1802","after",24,0.000268624591421568,0.540901502504174,1988,2018,"VHOD5","HYPO","Summer"
"MIDAS-3130","after",24,-3.43739907551734e-05,0.918196994991653,1995,2018,"VHOD5","HYPO","Summer"
"MIDAS-3132","after",24,0.000214731689528438,0.784641068447412,1991,2018,"VHOD5","HYPO","Summer"
"MIDAS-3134","after",30,-0.000286237811086682,0.310517529215359,1979,2018,"VHOD5","HYPO","Summer"
"MIDAS-3198","after",11,0.000848846252787758,0.6110183639399,1997,2008,"VHOD5","HYPO","Summer"
"MIDAS-3201","after",22,-0.00071595671500487,0.160267111853089,1997,2018,"VHOD5","HYPO","Summer"
"MIDAS-3232","after",22,0.0013385462080123,0.0400667779632721,1990,2018,"VHOD5","HYPO","Summer"
"MIDAS-3234","after",30,0.000312075824525294,0.207011686143573,1988,2018,"VHOD5","HYPO","Summer"
"MIDAS-3374","after",25,-0.000204472254133251,0.540901502504174,1990,2018,"VHOD5","HYPO","Summer"
"MIDAS-3376","after",14,-0.00114190057809361,0.540901502504174,1992,2008,"VHOD5","HYPO","Summer"
"MIDAS-3382","after",29,-0.000348475576603711,0.237061769616027,1988,2018,"VHOD5","HYPO","Summer"
"MIDAS-3396","after",16,0.00033115768033134,0.72787979966611,1990,2016,"VHOD5","HYPO","Summer"
"MIDAS-3416","after",31,0.000208239950626819,0.574290484140234,1988,2018,"VHOD5","HYPO","Summer"
"MIDAS-3418","after",12,-0.00109691826699478,0.59432387312187,1983,2018,"VHOD5","HYPO","Summer"
"MIDAS-3420","after",30,-0.000278859268370332,0.267111853088481,1989,2018,"VHOD5","HYPO","Summer"
"MIDAS-3424","after",28,0.000907179534972377,0.11686143572621,1988,2018,"VHOD5","HYPO","Summer"
"MIDAS-3448","after",29,-0.000356392957687676,0.303839732888147,1990,2018,"VHOD5","HYPO","Summer"
"MIDAS-3452","after",28,0.000166884547687407,0.62771285475793,1988,2018,"VHOD5","HYPO","Summer"
"MIDAS-3454","after",31,0.000196665861919836,0.54424040066778,1976,2018,"VHOD5","HYPO","Summer"
"MIDAS-3734","after",25,0.000142965942306438,0.343906510851419,1991,2018,"VHOD5","HYPO","Summer"
"MIDAS-3832","after",33,-0.00012867557049742,0.831385642737897,1981,2018,"VHOD5","HYPO","Summer"
"MIDAS-3838","after",24,0.000467394559686626,0.0567612687813022,1976,2015,"VHOD5","HYPO","Summer"
"MIDAS-4822","after",10,-0.00586950788864969,0.657762938230384,1985,2000,"VHOD5","HYPO","Summer"
"MIDAS-5172","after",5,NA,NA,1988,2002,"VHOD5","HYPO","Summer"
"MIDAS-5222","after",16,7.77701210823406e-05,0.787979966611018,1989,2014,"VHOD5","HYPO","Summer"
"MIDAS-5236","after",40,-0.000264567446571316,0.323873121869783,1977,2018,"VHOD5","HYPO","Summer"
